episode,epsilon,reward,n_solved,n_attempted,solve_rate,final_rating,avg_loss,buffer_size,steps,total_steps,duration_s
1,1.0,-2.82,1,2,0.5,1365.0031999999999,0.0,2,2,2,0.02
2,0.9998,16.76,3,7,0.429,1281.2779166666667,0.0,9,7,9,0.05
3,0.9995,-9.27,1,4,0.25,1009.6460800000001,0.0,13,4,13,0.03
4,0.9993,50.33,3,7,0.429,1392.1333448275861,0.0,20,7,20,0.04
5,0.999,17.92,1,4,0.25,1129.26752,0.0,24,4,24,0.02
6,0.9988,6.71,1,4,0.25,1643.4877826086956,0.0,28,4,28,0.02
7,0.9986,-2.71,1,3,0.333,1024.7849047619047,0.0,31,3,31,0.02
8,0.9983,9.05,2,5,0.4,1350.0238333333334,0.0,36,5,36,0.02
9,0.9981,3.91,3,8,0.375,1530.7869230769231,0.0,44,8,44,0.04
10,0.9979,-3.9,2,4,0.5,1586.4633333333334,0.0,48,4,48,0.02
11,0.9976,61.44,3,3,1.0,1636.1858000000002,0.0,51,3,51,0.02
12,0.9974,27.0,3,4,0.75,1370.8940833333334,0.0,55,4,55,0.02
13,0.9971,1.12,1,3,0.333,1430.4366086956522,0.0,58,3,58,0.01
14,0.9969,31.26,2,7,0.286,1507.7033076923074,117.07328,65,7,65,0.22
15,0.9967,32.36,3,6,0.5,1060.76848,99.15522,71,6,71,0.61
16,0.9964,0.87,1,6,0.167,1165.98304,73.81203,77,6,77,0.61
17,0.9962,20.76,2,2,1.0,1582.0658181818183,58.30766,79,2,79,0.2
18,0.996,67.83,4,6,0.667,1488.9554074074074,49.76474,85,6,85,0.62
19,0.9957,16.32,1,5,0.2,1160.32592,43.44743,90,5,90,0.51
20,0.9955,34.29,2,4,0.5,1184.8758,42.56193,94,4,94,0.41
21,0.9952,11.55,0,5,0.0,1012.5,43.5991,99,5,99,0.5
22,0.995,20.28,1,7,0.143,1090.0692,47.23386,106,7,106,0.75
23,0.9948,43.23,4,5,0.8,1360.7646071428571,42.36676,111,5,111,0.53
24,0.9945,5.32,2,3,0.667,1026.7030476190475,31.86959,114,3,114,0.32
25,0.9943,-4.55,0,5,0.0,1291.5,30.44964,119,5,119,0.56
26,0.9941,18.19,2,7,0.286,1415.520827586207,30.03483,126,7,126,0.73
27,0.9938,3.9,0,4,0.0,1515.0,36.11213,130,4,130,0.41
28,0.9936,39.51,3,3,1.0,1276.4787272727272,28.09769,133,3,133,0.31
29,0.9933,38.18,3,7,0.429,1388.0119655172414,29.29414,140,7,140,0.69
30,0.9931,31.98,2,4,0.5,1556.01188,25.22272,144,4,144,0.37
31,0.9929,44.38,2,2,1.0,1447.9956521739132,31.73756,146,2,146,0.19
32,0.9926,-14.45,0,2,0.0,961.0,69.12214,148,2,148,0.18
33,0.9924,24.67,5,10,0.5,1861.7787058823528,41.12132,158,10,158,0.9
34,0.9922,33.68,2,5,0.4,1444.3483913043478,35.01325,163,5,163,0.44
35,0.9919,37.25,4,8,0.5,1600.05746875,39.4684,171,8,171,0.74
36,0.9917,-7.35,1,4,0.25,1568.00168,34.95093,175,4,175,0.37
37,0.9914,19.57,4,5,0.8,1466.7104074074073,33.39079,180,5,180,0.46
38,0.9912,42.48,3,5,0.6,1365.2854782608697,32.97588,185,5,185,0.45
39,0.991,31.86,3,8,0.375,1298.0872068965516,32.86406,193,8,193,0.71
40,0.9907,-7.45,0,3,0.0,1040.0,42.85192,196,3,196,0.29
41,0.9905,46.0,4,6,0.667,1468.1054800000002,44.01311,202,6,202,0.67
42,0.9903,13.38,4,9,0.444,1803.5855714285715,40.73077,211,9,211,1.01
43,0.99,36.98,3,6,0.5,1064.3695357142856,47.20412,217,6,217,0.69
44,0.9898,-6.12,1,4,0.25,1307.60168,35.20037,221,4,221,0.43
45,0.9895,-8.65,0,5,0.0,1007.5,41.36875,226,5,226,0.65
46,0.9893,31.88,2,5,0.4,1237.0895925925927,36.75227,231,5,231,0.54
47,0.9891,3.35,1,5,0.2,1325.0022727272726,41.70143,236,5,236,0.52
48,0.9888,34.92,2,5,0.4,1514.8567777777778,38.53006,241,5,241,0.54
49,0.9886,58.02,5,5,1.0,1695.9998333333333,36.56672,246,5,246,0.6
50,0.9884,29.19,3,4,0.75,1416.1711304347828,38.71419,250,4,250,0.47
51,0.9881,23.97,2,4,0.5,1052.422,52.95164,254,4,254,0.47
52,0.9879,54.66,5,6,0.833,1598.9286206896552,48.59865,260,6,260,0.66
53,0.9876,15.1,1,1,1.0,1072.5,28.55998,261,1,261,0.12
54,0.9874,72.43,5,7,0.714,1577.8348888888888,44.81567,268,7,268,0.83
55,0.9872,7.6,0,5,0.0,1115.0,38.40222,273,5,273,0.57
56,0.9869,14.73,1,5,0.2,1087.4119130434783,33.63044,278,5,278,0.54
57,0.9867,-6.55,1,2,0.5,1371.5272,41.06703,280,2,280,0.23
58,0.9865,18.81,1,4,0.25,1052.1992173913045,42.92396,284,4,284,0.43
59,0.9862,4.5,1,3,0.333,1266.6957142857143,30.30308,287,3,287,0.3
60,0.986,1.66,1,4,0.25,1177.8098333333335,37.60372,291,4,291,0.44
61,0.9857,14.8,1,6,0.167,1032.5214,46.8297,297,6,297,0.69
62,0.9855,21.17,1,5,0.2,1304.0398,46.58667,302,5,302,0.55
63,0.9853,6.56,1,5,0.2,1468.1820454545455,49.78356,307,5,307,0.59
64,0.985,13.19,2,3,0.667,1114.313619047619,39.30266,310,3,310,0.3
65,0.9848,32.06,2,9,0.222,1535.53946875,37.16686,319,9,319,0.93
66,0.9846,14.85,1,5,0.2,1360.8695652173913,41.78335,324,5,324,0.53
67,0.9843,58.39,3,7,0.429,1421.536,33.88054,331,7,331,0.76
68,0.9841,4.0,0,4,0.0,1050.0,37.09772,335,4,335,0.43
69,0.9838,24.75,1,5,0.2,1672.5074499999998,34.51939,340,5,340,0.51
70,0.9836,-8.45,0,4,0.0,1120.0,40.95868,344,4,344,0.45
71,0.9834,-9.3,1,4,0.25,1204.5454545454545,55.58276,348,4,348,0.41
72,0.9831,51.25,4,7,0.571,1463.0904074074074,57.83419,355,7,355,0.71
73,0.9829,-6.85,0,3,0.0,1280.0,44.16246,358,3,358,0.3
74,0.9827,38.68,3,5,0.6,1524.01176,53.83726,363,5,363,0.54
75,0.9824,30.39,3,6,0.5,1106.1716923076924,47.12037,369,6,369,0.66
76,0.9822,34.89,2,7,0.286,1081.7675000000002,51.3826,376,7,376,0.78
77,0.9819,36.31,4,5,0.8,1439.1572173913044,48.2044,381,5,381,0.55
78,0.9817,55.14,4,7,0.571,1400.454275862069,47.27502,388,7,388,0.73
